R,G,B
255,75,1
255,75,1
255,76,2
254,78,2
253,80,3
253,80,3
253,82,2
254,83,1
254,85,2
255,86,3
255,86,1
254,89,0
254,90,1
254,91,0
253,92,1
254,93,2
254,95,3
255,96,2
255,96,2
255,98,1
255,98,1
254,100,0
254,102,1
252,103,1
253,104,2
253,106,2
253,106,2
254,107,1
254,107,1
254,109,2
255,110,1
253,111,1
254,112,0
254,114,1
254,114,1
255,115,2
255,115,2
254,117,1
254,119,2
254,121,2
255,122,3
253,123,1
254,124,2
254,126,1
254,126,1
255,127,2
254,129,3
253,130,1
254,131,2
255,132,3
254,133,3
253,135,1
254,136,0
253,137,0
254,138,0
253,140,0
254,141,0
254,143,1
254,143,1
253,146,4
253,146,4
254,148,4
253,148,4
254,150,3
253,151,4
253,152,2
254,153,3
254,155,0
255,156,0
254,157,0
255,158,0
254,161,0
255,162,0
255,163,0
255,164,0
254,165,0
254,167,0
254,167,0
255,168,0
255,170,1
254,172,2
255,173,1
255,173,1
255,175,0
255,175,0
254,177,0
255,178,0
254,179,0
255,180,0
255,182,0
255,182,0
254,183,5
254,183,3
255,184,4
255,186,3
254,188,4
254,189,3
255,190,4
254,190,4
253,193,0
254,194,0
254,194,0
254,196,1
254,196,0
254,198,1
255,199,2
253,199,2
253,199,2
254,200,3
254,200,3
254,203,2
255,204,3
253,205,1
254,206,2
253,206,2
253,207,0
254,208,1
254,208,1
254,208,1
254,209,2
254,210,1
254,210,1
255,211,2
254,212,3
254,212,3
254,212,3
254,212,3
255,214,2
254,214,2
254,214,2
254,214,2
253,216,3
255,215,3
255,215,3
254,214,2
252,215,2
250,216,4
247,216,3
246,217,3
244,215,1
242,215,2
240,215,1
237,216,3
235,216,2
231,216,3
229,215,2
227,216,2
224,215,0
222,215,2
219,216,1
215,216,1
211,216,2
207,216,3
203,216,4
202,215,3
195,216,0
192,216,0
190,215,0
185,214,0
180,213,0
176,212,0
173,212,0
171,212,0
163,211,1
162,210,2
160,210,1
155,209,1
150,208,2
146,208,3
143,206,1
141,206,2
135,204,1
133,205,1
129,204,0
124,203,0
118,203,0
113,202,0
109,202,0
107,201,0
101,199,2
100,197,2
96,198,1
91,197,1
88,195,1
83,194,1
79,194,2
78,193,2
72,191,1
70,191,2
68,190,1
63,189,1
59,187,2
54,187,2
52,186,1
50,186,2
46,184,2
45,184,3
41,183,1
38,183,2
34,182,2
30,182,3
27,180,1
26,181,2
21,180,2
21,180,2
18,179,3
15,177,3
13,177,3
10,177,2
8,176,3
7,175,2
3,174,7
3,175,5
3,175,5
3,175,5
3,174,7
3,174,10
3,173,12
2,172,13
2,172,13
2,172,13
3,173,15
3,172,19
2,172,22
2,172,24
2,171,26
2,171,28
2,170,31
0,171,33
1,171,36
1,171,39
1,170,43
1,171,48
1,171,49
1,170,51
1,170,55
2,170,57
2,170,61
2,169,64
1,170,69
1,169,73
1,168,76
2,169,79
2,168,84
1,168,86
1,168,90
2,168,94
2,167,98
1,168,99
1,168,99
1,168,99
0,169,106
0,169,106
0,169,107
0,168,111
0,169,114
0,169,116
0,169,117
0,169,120
1,167,119
2,168,122
1,168,124
1,168,125
1,167,127
2,168,132
0,168,133
0,168,133
0,167,137
0,167,139
0,167,141
0,166,142
0,166,144
0,165,148
1,166,150
1,166,150
0,167,152
0,167,152
0,167,154
0,166,156
0,166,158
0,166,159
0,165,161
0,165,161
1,162,170
1,162,170
1,162,172
1,161,173
1,161,175
1,161,177
1,160,179
1,160,179
0,160,178
0,160,180
0,159,181
0,159,183
0,159,185
0,158,187
0,158,188
0,158,188
0,157,192
0,157,192
0,156,194
0,156,196
0,154,198
1,153,200
1,153,202
1,153,202
0,152,202
0,151,204
1,150,206
0,149,207
0,148,208
0,147,211
1,146,213
0,145,212
0,142,214
1,141,216
0,140,217
0,139,218
1,138,219
1,135,222
0,134,223
0,134,223
2,132,226
2,132,228
2,130,229
1,129,230
1,127,230
1,126,234
2,124,235
2,124,235
1,121,234
1,121,234
0,119,235
2,118,237
1,117,238
1,115,239
1,115,240
2,114,242
2,110,244
2,110,244
2,108,244
1,107,243
2,105,244
2,103,245
2,101,246
1,100,245
2,98,245
2,96,246
2,95,248
3,93,249
3,91,250
3,89,250
2,88,251
4,87,251
3,86,252
4,85,254
3,84,253
4,82,253
4,80,254
3,79,253
3,77,254
3,77,254
1,76,253
1,76,253
1,74,254
2,73,253
